O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
51-9192.00	2.C.7.e	Philosophy and Theology	IM	1.11	17	0.0776	1.0000	1.2796	N	n/a	07/2017	Incumbent
51-9192.00	2.C.7.e	Philosophy and Theology	LV	0.22	17	0.1584	0.0000	0.5511	Y	Y	07/2017	Incumbent
51-9192.00	2.C.8.a	Public Safety and Security	IM	2.77	18	0.8107	1.0589	4.4797	N	n/a	07/2017	Incumbent
51-9192.00	2.C.8.a	Public Safety and Security	LV	1.42	18	0.5537	0.2532	2.5897	N	N	07/2017	Incumbent
51-9192.00	2.C.8.b	Law and Government	IM	1.29	18	0.1613	1.0000	1.6340	N	n/a	07/2017	Incumbent
51-9192.00	2.C.8.b	Law and Government	LV	0.41	17	0.2620	0.0000	0.9646	Y	Y	07/2017	Incumbent
51-9192.00	2.C.9.a	Telecommunications	IM	1.19	18	0.1522	1.0000	1.5143	N	n/a	07/2017	Incumbent
51-9192.00	2.C.9.a	Telecommunications	LV	0.29	18	0.2298	0.0000	0.7788	Y	Y	07/2017	Incumbent
51-9192.00	2.C.9.b	Communications and Media	IM	1.24	17	0.1666	1.0000	1.5905	N	n/a	07/2017	Incumbent
51-9192.00	2.C.9.b	Communications and Media	LV	0.33	17	0.2109	0.0000	0.7748	Y	Y	07/2017	Incumbent
51-9192.00	2.C.10	Transportation	IM	1.42	18	0.2648	1.0000	1.9809	N	n/a	07/2017	Incumbent
51-9192.00	2.C.10	Transportation	LV	0.46	18	0.2969	0.0000	1.0877	Y	Y	07/2017	Incumbent
51-9193.00	2.C.1.a	Administration and Management	IM	3.29	25	0.2422	2.7880	3.7877	N	n/a	07/2017	Incumbent
51-9193.00	2.C.1.a	Administration and Management	LV	2.55	25	0.4697	1.5836	3.5222	N	N	07/2017	Incumbent
51-9193.00	2.C.1.b	Administrative	IM	1.98	25	0.5168	1.0000	3.0459	N	n/a	07/2017	Incumbent
51-9193.00	2.C.1.b	Administrative	LV	1.57	25	0.8646	0.0000	3.3507	Y	N	07/2017	Incumbent
51-9193.00	2.C.1.c	Economics and Accounting	IM	1.55	25	0.3248	1.0000	2.2191	N	n/a	07/2017	Incumbent
51-9193.00	2.C.1.c	Economics and Accounting	LV	1.09	25	0.6485	0.0000	2.4283	Y	N	07/2017	Incumbent
51-9193.00	2.C.1.d	Sales and Marketing	IM	1.30	25	0.1893	1.0000	1.6934	N	n/a	07/2017	Incumbent
51-9193.00	2.C.1.d	Sales and Marketing	LV	1.01	25	0.6776	0.0000	2.4052	Y	N	07/2017	Incumbent
51-9193.00	2.C.1.e	Customer and Personal Service	IM	2.41	25	0.4521	1.4759	3.3423	N	n/a	07/2017	Incumbent
51-9193.00	2.C.1.e	Customer and Personal Service	LV	1.69	24	0.9397	0.0000	3.6315	Y	N	07/2017	Incumbent
51-9193.00	2.C.1.f	Personnel and Human Resources	IM	1.73	25	0.4654	1.0000	2.6948	N	n/a	07/2017	Incumbent
51-9193.00	2.C.1.f	Personnel and Human Resources	LV	0.88	25	0.6229	0.0000	2.1642	Y	N	07/2017	Incumbent
51-9193.00	2.C.2.a	Production and Processing	IM	3.85	25	0.3774	3.0736	4.6316	N	n/a	07/2017	Incumbent
51-9193.00	2.C.2.a	Production and Processing	LV	2.86	25	0.6705	1.4789	4.2466	N	N	07/2017	Incumbent
51-9193.00	2.C.2.b	Food Production	IM	3.33	25	0.2601	2.7960	3.8698	N	n/a	07/2017	Incumbent
51-9193.00	2.C.2.b	Food Production	LV	3.80	25	0.3058	3.1726	4.4347	N	N	07/2017	Incumbent
51-9193.00	2.C.3.a	Computers and Electronics	IM	2.44	25	0.5218	1.3581	3.5121	N	n/a	07/2017	Incumbent
51-9193.00	2.C.3.a	Computers and Electronics	LV	2.54	25	0.8485	0.7857	4.2880	N	N	07/2017	Incumbent
51-9193.00	2.C.3.b	Engineering and Technology	IM	2.73	25	0.6044	1.4780	3.9727	N	n/a	07/2017	Incumbent
51-9193.00	2.C.3.b	Engineering and Technology	LV	3.05	25	1.0075	0.9691	5.1278	N	N	07/2017	Incumbent
51-9193.00	2.C.3.c	Design	IM	2.75	25	0.5664	1.5812	3.9194	N	n/a	07/2017	Incumbent
51-9193.00	2.C.3.c	Design	LV	2.88	25	1.0390	0.7393	5.0283	N	N	07/2017	Incumbent
51-9193.00	2.C.3.d	Building and Construction	IM	2.15	25	0.4586	1.2019	3.0949	N	n/a	07/2017	Incumbent
51-9193.00	2.C.3.d	Building and Construction	LV	2.40	25	0.8093	0.7296	4.0701	N	N	07/2017	Incumbent
51-9193.00	2.C.3.e	Mechanical	IM	3.41	24	0.6065	2.1507	4.6599	N	n/a	07/2017	Incumbent
51-9193.00	2.C.3.e	Mechanical	LV	3.66	24	0.9622	1.6659	5.6467	N	N	07/2017	Incumbent
51-9193.00	2.C.4.a	Mathematics	IM	3.08	24	0.5988	1.8394	4.3166	N	n/a	07/2017	Incumbent
51-9193.00	2.C.4.a	Mathematics	LV	2.74	24	0.6709	1.3525	4.1284	N	N	07/2017	Incumbent
51-9193.00	2.C.4.b	Physics	IM	2.52	24	0.2653	1.9680	3.0657	N	n/a	07/2017	Incumbent
51-9193.00	2.C.4.b	Physics	LV	2.43	24	0.5105	1.3696	3.4815	N	N	07/2017	Incumbent
51-9193.00	2.C.4.c	Chemistry	IM	2.53	24	0.2289	2.0538	3.0010	N	n/a	07/2017	Incumbent
51-9193.00	2.C.4.c	Chemistry	LV	3.14	24	0.4582	2.1914	4.0870	N	N	07/2017	Incumbent
51-9193.00	2.C.4.d	Biology	IM	1.55	24	0.3686	1.0000	2.3110	N	n/a	07/2017	Incumbent
51-9193.00	2.C.4.d	Biology	LV	1.22	25	0.6896	0.0000	2.6435	Y	N	07/2017	Incumbent
51-9193.00	2.C.4.e	Psychology	IM	2.20	25	0.4236	1.3281	3.0765	N	n/a	07/2017	Incumbent
51-9193.00	2.C.4.e	Psychology	LV	1.69	25	0.5499	0.5566	2.8264	N	N	07/2017	Incumbent
51-9193.00	2.C.4.f	Sociology and Anthropology	IM	1.56	25	0.3955	1.0000	2.3740	N	n/a	07/2017	Incumbent
51-9193.00	2.C.4.f	Sociology and Anthropology	LV	0.85	25	0.6202	0.0000	2.1308	Y	N	07/2017	Incumbent
51-9193.00	2.C.4.g	Geography	IM	1.31	25	0.1608	1.0000	1.6467	N	n/a	07/2017	Incumbent
51-9193.00	2.C.4.g	Geography	LV	0.34	25	0.1627	0.0002	0.6718	N	N	07/2017	Incumbent
51-9193.00	2.C.5.a	Medicine and Dentistry	IM	1.09	25	0.0772	1.0000	1.2458	N	n/a	07/2017	Incumbent
51-9193.00	2.C.5.a	Medicine and Dentistry	LV	0.14	25	0.1168	0.0000	0.3769	Y	Y	07/2017	Incumbent
51-9193.00	2.C.5.b	Therapy and Counseling	IM	1.18	25	0.1276	1.0000	1.4412	N	n/a	07/2017	Incumbent
51-9193.00	2.C.5.b	Therapy and Counseling	LV	0.67	25	0.5029	0.0000	1.7078	Y	Y	07/2017	Incumbent
51-9193.00	2.C.6	Education and Training	IM	3.00	25	0.5970	1.7676	4.2318	N	n/a	07/2017	Incumbent
51-9193.00	2.C.6	Education and Training	LV	2.99	25	0.5385	1.8824	4.1051	N	N	07/2017	Incumbent
51-9193.00	2.C.7.a	English Language	IM	3.38	25	0.2322	2.9024	3.8608	N	n/a	07/2017	Incumbent
51-9193.00	2.C.7.a	English Language	LV	2.94	25	0.0545	2.8249	3.0497	N	N	07/2017	Incumbent
51-9193.00	2.C.7.b	Foreign Language	IM	1.77	25	0.1801	1.3962	2.1396	N	n/a	07/2017	Incumbent
51-9193.00	2.C.7.b	Foreign Language	LV	1.28	25	0.3284	0.6039	1.9594	N	N	07/2017	Incumbent
51-9193.00	2.C.7.c	Fine Arts	IM	1.00	25	0.0000	n/a	n/a	N	n/a	07/2017	Incumbent
